你的名字。,爱情 / 动画 / 奇幻,2016-12-02中国大陆上映 / 106分钟,影片讲述了一名少年和一名少女在梦中相遇邂逅的奇幻爱情故事。在千年一遇的彗星造访地球的一个月前，身居日本深山小镇的少女宫水三叶（上白石萌音 配音）每天都过着忧郁烦燥的生活，而正处于青春叛逆期的她对大都市的憧憬向往与日俱增。然而不久，三叶做了一个变成男孩子的梦，眼前的这里有着陌生的房间、朋友和她梦寐以求的宽敞街道。三叶虽然感到迷茫困惑，但能够尽情享受朝思暮想的都市生活的她觉得神清气爽。与此同时，远在他乡的东京少年立花泷（神木隆之介 配音）也有一个奇怪的梦境，睁开睡眼的他发现变成一名不知名姓女孩的自己身处一个从未去过的深山小镇。两人惊醒时发现各自回到了自己的身体，但每逢两人入睡或半梦半醒之际，他们就会交换对调身份。一头雾水的三叶决定循着线索找寻立花泷，而立花泷也试着跟三叶沟通，冥冥之中互换身份的两人不约而同地竭尽所能设法找寻对方，而彼此间的了解也因此渐渐加深，虽未曾相见却早已似曾相识的两人暗生情愫，一段青春季节的奇妙物语随之展开。跨越时空梦境的阻隔，终在现实世界邂逅的两人上演了一幕青涩浪漫的奇遇暖心之恋。岂料一场突如其来的意外将两人的一切美好定格在梦醒之际……
叶问4：完结篇,动作 / 剧情 / 传记,2019-12-20中国大陆上映 / 107分钟,因故来到美国唐人街的叶问（甄子丹 饰），意外卷入一场当地军方势力与华人武馆的纠纷，面对日益猖狂的民族歧视与压迫，叶问挺身而出，在美国海军陆战队军营拼死一战，以正宗咏春，向世界证明了中国功夫。
速度与激情：特别行动,动作 / 惊悚 / 犯罪,2019-08-23中国大陆上映 / 134分钟,一个是美国外交安全局的忠诚特工、身材魁梧的执法者霍布斯（道恩·强森 饰），一个是前英国军事特工精英、无法无天的恶棍肖（杰森·斯坦森 饰）。在首次对峙之后，两人不论言语还是肢体都冲突不断，一直试图打倒对方。然而，通过高科技进行了基因增强的无政府主义者布里克斯顿（伊德瑞斯·艾尔巴 饰）控制了一种可能永远改变人类命运的不为人知的生化武器，并且还打败了一位大胆优秀又特立独行的军情六处特工（凡妮莎·柯比 饰）——她恰好是肖的妹妹，为了扳倒这个世界上唯一可能比他们更厉害的敌人，这两个不共戴天的宿敌不得不联手。
速度与激情8,动作 / 惊悚 / 犯罪,2017-04-14中国大陆上映 / 136分钟,多米尼克（范·迪塞尔 饰）与莱蒂（米歇尔·罗德里格兹 饰）共度蜜月，布莱恩与米娅退出了赛车界，这支曾环游世界的顶级飞车家族队伍的生活正渐趋平淡。然而，一位神秘女子Cipher（查理兹·塞隆 饰）的出现，她引诱多米尼克走上犯罪道路，令整个队伍卷入信任与背叛的危机，生死患难的情义面临瓦解崩溃，前所未有的灾难考验着飞车家族。
动物世界,动作 / 悬疑 / 冒险,2018-06-29中国大陆上映 / 132分钟,男主角郑开司（李易峰 饰）因被朋友欺骗而背负上数百万的债务，面对重病的母亲和痴心等待的青梅竹马，他决心登上“命运号”游轮，改变自己一事无成的人生。只要能在渡轮上的游戏中获胜，他就将有机会将债务一笔勾销，并给家人带来更好的生活。这场游戏看似简单，参与者只需以标着“石头，剪刀，布”的扑克为道具，赢取对手身上的星星标志。但游轮上的亡命徒们毫无底线的欺诈争夺，却让人性的自私与残酷暴露无遗，局中局、计中计，让游戏场最终沦为“动物世界”斗兽场。面对绝境的郑开司，能否坚守自我底线保持善良本性？能否凭借自己的智慧和坚韧摆脱困境？这是一场自我救赎的残酷游戏，多重考验也将接踵而至。
西虹市首富,喜剧,2018-07-27中国大陆上映 / 118分钟,故事发生在《夏洛特烦恼》中的“特烦恼”之城“西虹市”。混迹于丙级业余足球队的守门员王多鱼（沈腾 饰），因比赛失利被开除离队。正处于人生最低谷的他接受了神秘台湾财团“一个月花光十亿资金”的挑战。本以为快乐生活就此开始，王多鱼却第一次感到“花钱特烦恼”！想要人生反转走上巅峰，真的没有那么简单。
南方车站的聚会,剧情 / 犯罪,2019-12-06中国大陆上映 / 113分钟,在南方某城市，  那是一个鱼龙混杂、管理失序的城中村，周泽农 （ 胡歌 饰）是盗窃团伙中一位领头，因为意外杀了一个警察而踏上了逃亡之路。刑警大队队长 （廖凡饰）和黑社会势力都在拼命追踪周泽农的痕迹，周泽农决定躲进一个不起眼的湖边度假小镇——野鹅塘。在野鹅塘，周泽农邂逅了当地的妓女刘爱爱 （ 桂纶镁 饰），在她的帮助下，周泽农需要给多年不见的妻子杨淑俊 （ 万茜 饰）传话。在警方开出了30万的悬赏金时，而周泽农打的小算盘，则是想让妻子来举报他，这样还能给自己的家人留下一笔生活所需的资金  。
反贪风暴5,动作 / 犯罪,2019中国大陆上映 ,一日，眼部受伤的女人突然出现在廉政公署总部，扬言要控告商业罪案调查科警司黄文彬（林家栋饰）贪污，廉政公署执行处首席调查主任陆志廉（古天乐饰）与队员接手调查，在追查过程中，陆志廉发现事情并不简单，因为身为警司的黄文彬在执行职务时，不止没有阻止罪案发生，更利用职权参与犯罪。正当调查渐渐有头绪时，重要证人一个一个被杀，qiwan.cc包括罗德永（卢海鹏饰），所有线索以及证据亦告失去，但有勇有谋的陆志廉并未放弃，随着神秘少女Angel（陈静饰）的出现，他发现律师胡志勇（王敏德饰）与“关怀基金”主席徐怀景（骆应钧饰）有不可告人的秘密。陆志廉今次将要面对一个庞大的贪污集团：当中包括了退休高官、警队高层、商界富豪、资深律师、会计师等，事件更牵涉到香港政府用作扶贫的150亿“关怀基金”……
我不是药神,剧情 / 喜剧,2018-07-05中国大陆上映 / 117分钟,一位不速之客的意外到访，打破了神油店老板程勇（徐峥 饰）的平凡人生，他从一个交不起房租的男性保健品商贩，一跃成为印度仿制药“格列宁”的独家代理商。收获巨额利润的他，生活剧烈变化，被病患们冠以“药神”的称号。但是，一场关于救赎的拉锯战也在波涛暗涌中慢慢展开......
野性的呼唤,剧情 / 冒险,2020-02-21美国上映 / 100分钟,影片改编自广受欢迎的文学经典，《野性的呼唤》生动地展现了心胸宽广的狗狗巴克的故事。19世纪90年代，正值淘金热，本在加利福尼亚家中的他突然辗转到了异域的阿拉斯加育空地区荒原，他的生活也随之发生了翻天覆地的变化。从邮递雪橇队的新手雪橇犬到后来成为领袖，巴克的一生都充满了冒险，最终他找到了自己真正的归属并成为了自己的主人。 作为一部真人与动画结合的电影，《野性的呼唤》有着顶尖的视觉效果与动画技术团队，但求动物的效果无比逼真，角色的情感真实可信。
